# Start date (t3): 2016-02-01
# Target Entropy: 8192

# Draw Id                       m  n  draw
2016-02-04_au_powerball         6  40 20,6,18,17,36,10
2016-02-04_fr_keno_night        20 70 2,6,21,24,28,29,31,36,39,40,44,46,48,51,52,56,58,61,62,67
2016-02-04_uk_health_lottery    5  50 2,16,17,38,39
2016-02-04_us_ny_cash_4_life    5  60 8,12,23,40,54
2016-02-05_nz_keno_1            20 80 29,72,5,19,1,79,27,24,9,21,23,58,34,51,49,16,70,56,41,10
2016-02-05_de_euro_jackpot      5  50 10,25,35,37,43
2016-02-05_br_quina             5  80 51,25,32,1,27
2016-02-05_ca_daily_keno_midday 20 70 1,6,7,14,19,29,31,32,37,40,45,52,53,57,58,59,60,63,69,70
2016-02-05_nz_keno_2            20 80 35,72,55,15,52,12,19,26,16,3,48,10,4,18,62,68,49,74,59,56
2016-02-05_ca_loto_max          7  49 6,7,8,9,17,23,30
2016-02-05_de_keno              20 70 1,5,12,17,18,19,20,21,23,24,25,27,38,46,49,50,51,55,63,65
2016-02-05_br_lotofacil         15 25 17,5,16,22,23,4,11,21,9,12,15,3,13,2,25
2016-02-05_fr_keno_midday       20 70 1,4,5,9,10,12,13,18,24,25,28,29,31,37,39,46,50,51,61,63
2016-02-05_nz_keno_3            20 80 49,62,9,10,6,75,45,20,46,30,22,59,73,40,32,55,34,66,15,2
2016-02-05_eu_euromillions      5  50 46,32,27,3,41
2016-02-05_ca_daily_keno_night  20 70 5,13,14,15,18,29,30,33,35,36,40,48,49,52,54,60,63,64,68,70
2016-02-05_br_dupla_sena        6  50 10,8,33,13,42,12
2016-02-05_es_bonoloto          6  49 16,24,34,41,42,43
2016-02-05_us_mega_millions     5  75 4,6,23,55,75
2016-02-05_nz_keno_4            20 80 34,12,15,20,70,31,61,45,68,47,38,48,60,78,69,79,71,7,63,75
2016-02-05_fr_keno_night        20 70 4,5,9,14,16,20,21,29,32,33,34,35,41,47,48,50,51,53,66,69
2016-02-05_uk_health_lottery    5  50 5,15,28,31,37
2016-02-06_nz_keno_1            20 80 45,57,59,62,2,77,49,28,68,35,48,43,16,73,6,67,63,74,1,26
2016-02-06_us_hot_lotto         5  47 6,13,43,38,12
2016-02-06_fr_loto              5  49 44,25,2,41,28
2016-02-06_nz_lotto             6  40 36,37,34,30,8,28
2016-02-06_br_quina             5  80 69,37,24,45,27
2016-02-06_ca_daily_keno_midday 20 70 2,7,8,10,11,14,20,27,28,31,33,37,41,48,52,57,62,63,67,69
2016-02-06_it_super_enalotto    6  90 10,24,36,63,77,89
2016-02-06_nz_keno_2            20 80 5,46,21,75,67,10,60,2,48,33,57,38,62,51,42,12,8,27,4,73
2016-02-06_ch_loto              6  42 1,12,16,21,24,29
2016-02-06_es_la_primitiva      6  49 6,11,20,26,38,46
2016-02-06_de_keno              20 70 6,9,10,11,19,21,23,25,26,31,32,38,43,51,54,56,57,61,62,64
2016-02-06_us_wild_card         5  33 17,28,5,7,20
2016-02-06_fr_keno_midday       20 70 1,5,6,11,12,16,20,21,23,25,27,28,31,32,33,40,42,47,56,61
2016-02-06_be_lotto             6  45 1,9,21,30,39,41
2016-02-06_ca_lottario          6  45 9,15,18,32,34,36
2016-02-06_nz_keno_3            20 80 27,33,63,47,78,71,2,68,22,30,6,75,5,32,59,42,62,77,41,7
2016-02-06_us_powerball         5  69 13,4,36,31,52
2016-02-06_de_lotto             6  49 10,16,25,28,34,49
2016-02-06_ca_daily_keno_night  20 70 2,5,8,11,15,17,18,39,40,41,45,51,53,57,58,60,62,63,64,67
2016-02-06_es_bonoloto          6  49 6,9,18,20,23,32
2016-02-06_nz_keno_4            20 80 9,38,55,67,26,8,45,19,18,44,49,69,32,30,16,62,29,39,72,41
2016-02-06_mu_loto              6  40 2,15,18,20,24,33
2016-02-06_us_ny_lotto          6  59 1,14,25,37,41,53
2016-02-06_fr_keno_night        20 70 1,3,9,10,13,15,18,19,24,26,30,33,39,45,50,60,62,63,67,69
2016-02-06_au_saturday_lotto    6  45 4,43,39,26,40,33
2016-02-06_uk_health_lottery    5  50 7,30,41,45,50
2016-02-06_br_mega_sena         6  60 42,45,56,13,3,59
2016-02-06_nl_lotto             6  45 2,25,27,36,41,45
2016-02-06_ca_loto_649          6  49 7,19,25,26,31,44
2016-02-07_nz_keno_1            20 80 26,77,10,44,57,36,54,72,19,50,16,11,61,52,17,58,66,73,55,42
2016-02-07_ca_daily_keno_midday 20 70 5,8,17,18,19,22,23,27,31,33,36,40,42,44,45,48,56,63,68,70
2016-02-07_nz_keno_2            20 80 11,65,21,3,22,25,6,33,44,62,39,54,36,56,73,60,17,34,45,71
2016-02-07_de_keno              20 70 1,4,5,6,8,13,15,34,36,38,39,40,45,47,53,55,59,60,64,66
2016-02-07_fr_keno_midday       20 70 4,8,14,15,17,20,21,24,26,27,32,34,43,49,51,57,58,60,63,66
2016-02-07_nz_keno_3            20 80 29,5,26,19,47,62,67,70,80,40,4,17,27,63,1,30,53,7,43,32
2016-02-07_ca_daily_keno_night  20 70 4,5,11,16,17,18,25,28,34,38,40,42,44,45,52,56,61,64,67,70
2016-02-07_nz_keno_4            20 80 15,4,26,43,22,10,54,59,2,35,40,64,61,13,67,29,8,45,21,51
2016-02-07_es_el_gordo          5  54 3,14,40,49,51
2016-02-07_fr_keno_night        20 70 2,6,12,13,14,16,20,23,24,35,39,41,43,46,48,55,58,64,65,67
2016-02-08_au_monday_lotto      6  45 33,11,13,31,45,40
2016-02-08_nz_keno_1            20 80 45,63,6,9,59,68,39,75,32,79,27,48,8,28,15,78,74,70,51,66
2016-02-08_fr_loto              5  49 30,1,28,39,11
2016-02-08_br_quina             5  80 None
2016-02-08_ca_daily_keno_midday 20 70 2,3,7,12,13,14,23,24,25,29,36,40,42,45,49,50,56,60,66,69
2016-02-08_nz_keno_2            20 80 69,68,55,41,50,29,26,67,19,44,79,22,64,32,35,71,63,33,11,76
2016-02-08_de_keno              20 70 2,3,4,18,25,28,32,34,35,41,43,46,49,51,54,59,64,65,69,70
2016-02-08_br_lotofacil         15 25 None
