
# Start date (t3): 2015-10-01
# Target Entropy: 8192

# Draw Id                       m  n  draw                                                                             
2015-10-04_fr_keno_night        20 70 2,4,5,6,9,17,20,26,27,30,31,36,37,40,52,58,60,63,67,68                           
2015-10-04_nz_keno_1            20 80 1,2,3,8,9,15,21,24,29,38,45,49,50,59,60,64,69,73,75,77                           
2015-10-04_nz_keno_2            20 80 6,11,15,27,28,36,38,41,45,46,48,53,56,65,67,72,74,76,79,80                       
2015-10-04_nz_keno_3            20 80 2,5,6,15,22,25,40,41,42,46,54,57,58,59,60,61,66,71,74,76                         
2015-10-04_nz_keno_4            20 80 2,6,8,12,22,23,34,36,38,41,43,46,47,54,55,59,61,63,66,74                         
2015-10-05_au_monday_lotto      6  45 4,14,15,16,27,36                                                                 
2015-10-05_br_lotofacil         15 25 2,3,5,6,7,9,11,12,13,15,16,17,18,22,25                                           
2015-10-05_br_quina             5  80 53,62,64,73,76                                                                   
2015-10-05_ca_daily_keno_midday 20 70 1,16,17,18,19,21,26,29,30,31,32,34,35,42,43,52,53,59,61,66                       
2015-10-05_ca_daily_keno_night  20 70 3,6,8,9,12,18,20,21,24,28,36,37,45,46,50,51,64,66,68,69                          
2015-10-05_de_keno              20 70 3,4,5,8,11,14,19,20,25,33,36,38,44,51,53,56,62,63,64,69                          
2015-10-05_es_bonoloto          6  49 1,3,7,23,28,40                                                                   
2015-10-05_fr_keno_midday       20 70 1,7,9,13,15,17,19,21,26,28,29,32,39,41,47,49,52,58,65,69                         
2015-10-05_fr_keno_night        20 70 1,6,7,12,13,14,16,21,27,30,37,50,54,57,59,60,61,66,67,68                         
2015-10-05_fr_loto              5  49 13,27,28,31,42                                                                   
2015-10-05_nz_keno_1            20 80 1,4,16,17,18,23,26,29,30,45,46,56,59,61,64,67,70,71,72,78                        
2015-10-05_nz_keno_2            20 80 1,6,12,13,14,17,39,45,48,50,51,52,53,56,63,65,66,69,75,80                        
2015-10-05_nz_keno_3            20 80 11,12,18,34,36,40,41,47,50,51,54,55,57,58,65,70,71,72,74,79                      
2015-10-05_nz_keno_4            20 80 5,7,9,15,18,20,24,25,27,29,32,36,48,50,52,53,69,73,75,79                         
2015-10-05_us_ny_cash_4_life    5  60 8,20,34,41,43                                                                    
2015-10-06_au_oz_lotto          7  45 2,7,13,21,26,36,42                                                               
2015-10-06_br_dupla_sena        6  50 1,8,11,21,24,26                                                                  
2015-10-06_br_quina             5  80 15,30,37,49,62                                                                   
2015-10-06_ca_daily_keno_midday 20 70 3,4,13,14,16,17,19,22,25,31,32,36,37,41,48,50,53,54,56,70                        
2015-10-06_ca_daily_keno_night  20 70 1,4,5,7,9,10,11,23,27,28,31,33,41,45,51,54,60,63,67,68                           
2015-10-06_de_keno              20 70 1,5,6,7,13,17,22,23,25,31,33,34,36,40,48,53,60,64,67,69                          
2015-10-06_es_bonoloto          6  49 3,13,20,25,36,46                                                                 
2015-10-06_eu_euromillions      5  50 11,20,22,29,32                                                                   
2015-10-06_fr_keno_midday       20 70 1,3,4,9,11,13,15,16,21,22,26,30,35,36,42,49,54,56,63,65                          
2015-10-06_fr_keno_night        20 70 5,7,11,13,14,17,19,20,26,30,31,32,40,49,56,57,58,64,66,68                        
2015-10-06_it_super_enalotto    6  90 8,11,17,27,62,84                                                                 
2015-10-06_nz_keno_1            20 80 14,18,20,33,34,38,40,41,43,45,52,60,62,64,65,69,72,73,74,78                      
2015-10-06_nz_keno_2            20 80 8,14,21,22,27,30,31,33,40,42,43,45,47,54,63,64,70,71,75,77                       
2015-10-06_nz_keno_3            20 80 4,21,24,30,32,33,34,38,44,47,48,49,54,56,65,66,72,74,77,80                       
2015-10-06_nz_keno_4            20 80 2,3,8,11,18,19,20,23,29,30,36,37,41,43,46,57,65,66,68,70                         
2015-10-06_us_mega_millions     5  75 17,58,63,64,66                                                                   
2015-10-07_au_wednesday_lotto   6  45 14,15,19,32,33,42                                                                
2015-10-07_be_lotto             6  45 9,15,17,19,22,43                                                                 
2015-10-07_br_lotofacil         15 25 1,2,3,6,7,8,11,12,13,15,17,18,21,22,24                                           
2015-10-07_br_mega_sena         6  60 2,10,13,41,49,53                                                                 
2015-10-07_br_quina             5  80 12,38,47,77,78                                                                   
2015-10-07_ca_daily_keno_midday 20 70 4,14,15,20,23,26,29,30,32,35,38,43,47,51,56,58,60,63,66,68                       
2015-10-07_ca_daily_keno_night  20 70 3,4,5,6,8,10,11,17,19,23,26,29,30,39,42,43,51,55,59,67                           
2015-10-07_ca_loto_649          6  49 4,10,19,31,38,43                                                                 
2015-10-07_ch_loto              6  42 7,12,27,30,34,40                                                                 
2015-10-07_de_keno              20 70 3,5,6,8,11,12,15,17,20,22,37,45,50,55,57,58,59,61,62,63                          
2015-10-07_de_lotto             6  49 7,11,12,25,28,33                                                                 
2015-10-07_es_bonoloto          6  49 4,18,19,28,38,41                                                                 
2015-10-07_fr_keno_midday       20 70 1,5,8,14,15,18,20,23,24,25,32,33,34,36,39,47,50,53,59,60                         
2015-10-07_fr_keno_night        20 70 4,8,10,18,19,20,22,33,39,44,47,48,54,57,58,59,60,65,66,70                        
2015-10-07_fr_loto              5  49 2,14,27,28,29                                                                    
2015-10-07_nz_keno_1            20 80 6,10,17,18,22,31,35,38,39,42,49,52,56,57,61,64,66,72,73,74                       
2015-10-07_nz_keno_2            20 80 1,3,18,20,22,26,28,31,34,36,43,44,46,54,64,65,66,70,74,76                        
2015-10-07_nz_keno_3            20 80 3,4,10,14,16,25,33,37,42,45,49,52,56,60,64,65,69,70,77,78                        
2015-10-07_nz_keno_4            20 80 2,8,15,16,22,25,30,40,42,45,47,50,53,56,72,74,77,78,79,80                        
2015-10-07_nz_lotto             6  40 3,7,14,23,28,31                                                                  
2015-10-07_us_hot_lotto         5  47 10,27,28,33,35                                                                   
2015-10-07_us_ny_lotto          6  59 1,9,13,35,49,59                                                                  
2015-10-07_us_powerball         5  69 18,30,40,48,52                                                                   
2015-10-07_us_wild_card         5  33 3,10,16,17,32                                                                    
2015-10-08_au_powerball         6  40 5,6,13,20,27,35                                                                  
2015-10-08_br_quina             5  80 34,35,36,50,55                                                                   
2015-10-08_ca_daily_keno_midday 20 70 4,6,9,10,13,18,22,32,33,38,39,41,42,45,47,55,57,61,69,70                         
2015-10-08_ca_daily_keno_night  20 70 7,10,13,23,24,33,35,37,40,45,46,48,49,51,56,57,58,59,66,70                       
2015-10-08_de_keno              20 70 5,12,14,17,19,23,24,25,30,31,32,33,39,41,45,46,48,51,67,69                       
2015-10-08_es_bonoloto          6  49 1,2,5,12,17,43                                                                   
2015-10-08_es_la_primitiva      6  49 12,14,21,30,37,40                                                                
2015-10-08_fr_keno_midday       20 70 3,8,9,10,12,14,18,22,37,38,39,42,45,48,50,51,53,54,59,65                         
2015-10-08_fr_keno_night        20 70 5,7,9,10,11,19,21,22,26,29,39,42,44,46,48,51,54,58,67,70                         
2015-10-08_it_super_enalotto    6  90 23,32,33,55,84,90                                                                
2015-10-08_nz_keno_1            20 80 1,11,14,19,21,30,35,40,42,43,46,48,53,54,57,60,62,65,71,78                       
2015-10-08_nz_keno_2            20 80 1,9,13,20,21,22,26,29,36,42,47,52,60,67,70,71,73,75,76,79                        
2015-10-08_nz_keno_3            20 80 2,4,8,13,21,24,25,31,35,38,39,58,63,65,70,71,72,73,74,79                         
